processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,103,6,54,50x50,AK050H054V006,450005,2100005,500005,2150005,68.71306667,-142.3460965,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,104,6,55,50x50,AK050H055V006,500005,2100005,550005,2150005,68.62995577,-141.1483844,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,105,6,56,50x50,AK050H056V006,550005,2100005,600005,2150005,68.53888701,-139.959078,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,106,6,57,50x50,AK050H057V006,600005,2100005,650005,2150005,68.43995592,-138.7788435,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,107,6,58,50x50,AK050H058V006,650005,2100005,700005,2150005,68.33326445,-137.6083142,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,108,6,59,50x50,AK050H059V006,700005,2100005,750005,2150005,68.21892044,-136.4480887,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,109,6,60,50x50,AK050H060V006,750005,2100005,800005,2150005,68.09703706,-135.2987301,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,110,7,34,50x50,AK050H034V007,-549995,2050005,-499995,2100005,68.18572054,-166.6215992,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,111,7,35,50x50,AK050H035V007,-499995,2050005,-449995,2100005,68.26721697,-165.4443899,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,112,7,36,50x50,AK050H036V007,-449995,2050005,-399995,2100005,68.34081218,-164.2598722,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,113,7,37,50x50,AK050H037V007,-399995,2050005,-349995,2100005,68.40642973,-163.0687382,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,114,7,38,50x50,AK050H038V007,-349995,2050005,-299995,2100005,68.46400055,-161.8717045,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,115,7,39,50x50,AK050H039V007,-299995,2050005,-249995,2100005,68.51346335,-160.6695102,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,116,7,40,50x50,AK050H040V007,-249995,2050005,-199995,2100005,68.55476492,-159.4629145,2e+05,2.5e+09,TRUE,TRUE,FALSE,FALSE
1,117,7,41,50x50,AK050H041V007,-199995,2050005,-149995,2100005,68.58786047,-158.2526936,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,118,7,42,50x50,AK050H042V007,-149995,2050005,-99995,2100005,68.61271383,-157.0396381,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,119,7,43,50x50,AK050H043V007,-99995,2050005,-49995,2100005,68.62929771,-155.8245496,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,120,7,44,50x50,AK050H044V007,-49995,2050005,5.000000004,2100005,68.63759383,-154.6082381,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,121,7,45,50x50,AK050H045V007,5.000000004,2050005,50005,2100005,68.637593,-153.3915185,200000,2500000000,TRUE,FALSE,FALSE,FALSE
